OfficerID,CRID,Category,Allegation,Finding,Outcome,IncidentDate,Latitude,Longitude,Officer Gender,Officer Race,Officer Rank,Officer Age
31792,1060977,Use Of Force, Injury,Unfounded,No Action Taken,2013,41.9428416,-87.6858678,M,White,Po,43
21208,1060977,Use Of Force, Injury,Unfounded,No Action Taken,2013,41.9428416,-87.6858678,M,White,Police Officer,54
16521,1061852,Illegal Search,Improper Search Of Person,No Affidavit,No Action Taken,2013,41.9428469,-87.7472859,F,Hispanic,Police Officer,59
17586,1061852,Illegal Search,Improper Search Of Person,No Affidavit,No Action Taken,2013,41.9428469,-87.7472859,M,Hispanic,Police Officer,47
8159,1088393,Use Of Force,Unnecessary Display Of Weapon / On Duty,Unknown,Unknown,2018,41.9436539,-87.6409625,M,White,Po As Detective,50
15873,1070458,Illegal Search,Improper Search Of Vehicle,No Affidavit,No Action Taken,2014,41.9437848,-87.654009,M,White,Sergeant Of Police,45
26025,1070458,Illegal Search,Improper Search Of Vehicle,No Affidavit,No Action Taken,2014,41.9437848,-87.654009,M,White,Police Officer,50
6207,1060937,Use Of Force, Injury,Not Sustained,No Action Taken,2013,41.9438332,-87.6535635,M,White,Po As Detective,45
14058,1086601,Use Of Force,Unnecessary Physical Contact / On Duty ,Exonerated,Unknown,2017,41.9438952,-87.6489797,M,White,Captain Of Police,53
32658,1086018,Use Of Force, No Injury,Unknown,Unknown,2017,41.9441646,-87.7726243,M,Black,0,32
6934,1087598,Use Of Force, No Injury,Unknown,Unknown,2017,41.9444731,-87.7506335,M,Asian/Pacific,Police Officer,56
15553,1085008,Use Of Force, Injury,Exonerated,Unknown,2017,41.9448451,-87.7597848,M,White,Police Officer,52
30016,1085008,Use Of Force, Injury,Unfounded,Unknown,2017,41.9448451,-87.7597848,M,White,Sergeant Of Police,46
2034,1085008,Use Of Force, Injury,Unfounded,Unknown,2017,41.9448451,-87.7597848,M,White,Police Officer,58
24392,1076064,Use Of Force,Unnecessary Display Of Weapon / Off Duty,No Affidavit,No Action Taken,2014,41.9448968,-87.648024,F,Hispanic,Police Officer,55
3299,1076064,Use Of Force,Unnecessary Display Of Weapon / Off Duty,No Affidavit,No Action Taken,2014,41.9448968,-87.648024,M,Black,Police Officer,62
17855,1076064,Use Of Force,Unnecessary Display Of Weapon / Off Duty,No Affidavit,No Action Taken,2014,41.9448968,-87.648024,M,White,Police Officer,47
13228,1076064,Use Of Force,Unnecessary Display Of Weapon / Off Duty,No Affidavit,No Action Taken,2014,41.9448968,-87.648024,F,Black,Police Officer,58
27114,1076064,Use Of Force,Unnecessary Display Of Weapon / Off Duty,No Affidavit,No Action Taken,2014,41.9448968,-87.648024,M,White,Po As Detective,47
16791,1076064,Use Of Force,Unnecessary Display Of Weapon / Off Duty,No Affidavit,No Action Taken,2014,41.9448968,-87.648024,M,White,Sergeant Of Police,60
32355,1076064,Use Of Force,Unnecessary Display Of Weapon / Off Duty,No Affidavit,No Action Taken,2014,41.9448968,-87.648024,M,White,Po,43
31120,1076064,Use Of Force,Unnecessary Display Of Weapon / Off Duty,No Affidavit,No Action Taken,2014,41.9448968,-87.648024,M,White,Police Officer,44
1257,1076064,Use Of Force,Unnecessary Display Of Weapon / Off Duty,No Affidavit,No Action Taken,2014,41.9448968,-87.648024,M,White,Police Officer,45
29565,1063663,Illegal Search,Improper Search Of Vehicle,No Affidavit,No Action Taken,2013,41.9448977,-87.8314937,F,Hispanic,Police Officer,50
31191,1076965,Use Of Force, Injury,Unfounded,Unknown,2015,41.9453464,-87.6496381,M,White,Police Officer,39
51,1086045,Use Of Force,Unnecessary Physical Contact / On Duty ,Unknown,Unknown,2017,41.9455205,-87.7676466,M,Hispanic,Police Officer,44
20827,1086045,Use Of Force,Unnecessary Physical Contact / On Duty ,Unknown,Unknown,2017,41.9455205,-87.7676466,F,White,Sergeant Of Police,54
27575,1069438,Use Of Force,Unnecessary Display Of Weapon / On Duty,Not Sustained,No Action Taken,2014,41.945655,-87.6555567,M,White,Lieutenant Of Police,50
8964,1077291,Use Of Force,Unnecessary Display Of Weapon / Off Duty,No Affidavit,No Action Taken,2014,41.9464482,-87.6689142,M,White,Police Officer,56
18581,1077291,Use Of Force,Unnecessary Display Of Weapon / Off Duty,No Affidavit,No Action Taken,2014,41.9464482,-87.6689142,F,White,Police Officer,54
1371,1069406,Use Of Force, No Injury,Unfounded,No Action Taken,2014,41.94675,-87.665476,M,White,Police Officer,47
2667,1069406,Use Of Force, No Injury,Unfounded,No Action Taken,2014,41.94675,-87.665476,M,White,Police Officer,48
4333,1074329,Use Of Force, Injury,Not Sustained,No Action Taken,2015,41.9468239,-87.6497195,M,Hispanic,Police Officer,53
15251,1074329,Use Of Force, Injury,Not Sustained,No Action Taken,2015,41.9468239,-87.6497195,M,White,Police Officer,41
18959,1087563,Use Of Force, Injury,Unfounded,Unknown,2017,41.9470215,-87.728555,M,White,Police Officer,48
8399,1063124,Use Of Force,Unnecessary Physical Contact / On Duty ,Not Sustained,No Action Taken,2013,41.9470633,-87.6640242,F,White,Sergeant Of Police,42
30033,1063124,Use Of Force,Unnecessary Physical Contact / On Duty ,Not Sustained,No Action Taken,2013,41.9470633,-87.6640242,M,White,Po Asgn Evid. Techni,39
11048,1085955,Use Of Force,Miscellaneous,Unfounded,Unknown,2017,41.9471988,-87.6565009,M,Hispanic,Police Officer,52
2726,1085955,Use Of Force,Miscellaneous,Not Sustained,Unknown,2017,41.9471988,-87.6565009,M,Black,Police Officer,33
8964,1080526,Illegal Search,Improper Search Of Vehicle,Unknown,Unknown,2016,41.9472325,-87.6543468,M,White,Police Officer,56
12299,1075844,Use Of Force, Use Of Firearm / Off Duty ,Not Sustained,No Action Taken,2015,41.9474473,-87.6560538,M,White,Sergeant Of Police,56
7586,1071171,Use Of Force, Injury,Unfounded,Unknown,2014,41.9475428,-87.6512536,M,Hispanic,Police Officer,56
12499,1084311,Use Of Force,Miscellaneous,Unknown,Unknown,2017,41.9475428,-87.6512536,F,White,Police Officer,46
28335,1068722,Use Of Force,Unnecessary Display Of Weapon / On Duty,No Affidavit,No Action Taken,2014,41.9479764,-87.6541327,M,Hispanic,Sergeant Of Police,54
75,1062818,Use Of Force,Unnecessary Physical Contact / On Duty ,No Affidavit,No Action Taken,2013,41.9480418,-87.6435218,M,Native American/Alaskan Native,Police Officer,48
8399,1081544,Use Of Force,Civil Suits ,No Affidavit,Unknown,2015,41.9485858,-87.6484507,F,White,Sergeant Of Police,42
12082,1081544,Use Of Force,Civil Suits ,No Affidavit,Unknown,2015,41.9485858,-87.6484507,M,Hispanic,Police Officer,50
3133,1068735,Illegal Search,Improper Search Of Vehicle,No Affidavit,No Action Taken,2014,41.9487942,-87.8073058,M,White,Police Officer,52
12043,1079562,Use Of Force,No Injury,No Affidavit,Unknown,2016,41.9488599,-87.7398546,M,Hispanic,Po/Field Trning Off,37
11798,1077622,Illegal Search,Improper Search Of Person,No Affidavit,No Action Taken,2015,41.9491767,-87.6582864,M,White,Police Officer,50
17090,1077834,Use Of Force,Miscellaneous,Not Sustained,Unknown,2015,41.9494891,-87.8181482,M,White,Police Officer,49
8457,1077834,Use Of Force,Miscellaneous,Sustained,Unknown,2015,41.9494891,-87.8181482,M,White,Po/Exp Det Can Hand,48
25620,1062929,Use Of Force, No Injury,Not Sustained,No Action Taken,2013,41.949817,-87.764617,M,White,Sergeant Of Police,52
291,1084768,Use Of Force,Injury,No Affidavit,Unknown,2017,41.9502514,-87.8154603,M,Hispanic,Police Officer,41
24348,1069032,Illegal Search,Improper Search Of Person,No Affidavit,No Action Taken,2014,41.9502774,-87.7079091,F,Hispanic,Po As Detective,33
17594,1069032,Illegal Search,Improper Search Of Person,No Affidavit,No Action Taken,2014,41.9502774,-87.7079091,M,Hispanic,Police Officer,34
7587,1079539,Use Of Force,Closed Hand Strike (Punch),Unfounded,Unknown,2016,41.9503434,-87.80198,M,Hispanic,Police Officer,41
21598,1068057,Illegal Search,Improper Search Of Person,No Affidavit,No Action Taken,2014,41.9503493,-87.7861134,F,White,Police Officer,46
20263,1068057,Illegal Search,Improper Search Of Person,No Affidavit,No Action Taken,2014,41.9503493,-87.7861134,M,White,Police Officer,43
27886,1077672,Illegal Search,Improper Search Of Vehicle,No Affidavit,No Action Taken,2015,41.9507541,-87.7629758,M,White,Police Officer,46
25343,1077672,Illegal Search,Improper Search Of Vehicle,No Affidavit,No Action Taken,2015,41.9507541,-87.7629758,M,White,Police Officer,59
12379,1084819,Use Of Force,Push/Pull/Grab,Unfounded,Unknown,2017,41.95131,-87.781884,M,White,Sergeant Of Police,51
2083,1084819,Use Of Force,Push/Pull/Grab,Unfounded,Unknown,2017,41.95131,-87.781884,M,White,Police Officer,51
31134,1065880,Use Of Force, Injury,Not Sustained,No Action Taken,2013,41.9525909,-87.7808681,M,White,Sergeant Of Police,51
24378,1066617,Use Of Force,Unnecessary Display Of Weapon / Off Duty,No Affidavit,Unknown,2013,41.952618,-87.677464,M,Hispanic,Police Officer,33
18087,1071096,Use Of Force, Injury,No Affidavit,No Action Taken,2014,41.9531377,-87.7892341,M,White,Police Officer,57
20035,1073814,Illegal Search,Improper Search Of Person,No Affidavit,No Action Taken,2014,41.9532673,-87.6452796,M,White,Police Officer,41
24841,1073814,Illegal Search,Improper Search Of Person,No Affidavit,No Action Taken,2014,41.9532673,-87.6452796,M,White,Police Officer,49
1013,1073814,Illegal Search,Improper Search Of Person,No Affidavit,No Action Taken,2014,41.9532673,-87.6452796,M,Hispanic,Police Officer,49
21848,1083150,Use Of Force, No Injury,Unfounded,Unknown,2016,41.953305,-87.695618,M,White,Police Officer,30
29795,1073410,Use Of Force,Unnecessary Display Of Weapon / On Duty,Unknown,Unknown,2015,41.9533942,-87.7336333,F,White,Sergeant Of Police,44
430,1073410,Use Of Force,Unnecessary Display Of Weapon / On Duty,Unknown,Unknown,2015,41.9533942,-87.7336333,M,Hispanic,Police Officer,40
6666,1073410,Use Of Force,Unnecessary Display Of Weapon / On Duty,Unknown,Unknown,2015,41.9533942,-87.7336333,M,Hispanic,Police Officer,36
8400,1073410,Use Of Force,Unnecessary Display Of Weapon / On Duty,Unknown,Unknown,2015,41.9533942,-87.7336333,F,White,Police Officer,33
24628,1073410,Use Of Force,Unnecessary Display Of Weapon / On Duty,Unknown,Unknown,2015,41.9533942,-87.7336333,M,White,Po As Detective,35
