Census Tract,Total Population,Majority White,Majority Black,Majority American Indian,Majority Asian,Majority Latino,Majority Pop,White,Black,American Indian,Asian,Latino
8361,2266,5.52,89.01,0,0.22,5.25,Majority Black,125,2017,0,5,119
8362,1644,60.04,6.81,0,26.82,6.33,Majority White,987,112,0,441,104
8363,1344,36.46,53.05,0,7.51,2.98,Majority Black,490,713,0,101,40
8364,3480,8.16,83.3,0,2.13,6.41,Majority Black,284,2899,0,74,223
8365,1793,4.13,92.64,0,0,3.23,Majority Black,74,1661,0,0,58
8366,2960,31.42,24.59,0.78,0,43.21,Majority Latino,930,728,23,0,1279
8367,2344,7.47,72.65,0,0.26,19.62,Majority Black,175,1703,0,6,460
8368,2214,7.27,89.79,0,0,2.94,Majority Black,161,1988,0,0,65
8369,1497,12.22,80.9,0,0.94,5.95,Majority Black,183,1211,0,14,89
8370,1983,8.88,88.05,0,0.1,2.98,Majority Black,176,1746,0,2,59
8371,1718,17.58,67.69,0,1.63,13.1,Majority Black,302,1163,0,28,225
8373,2526,5.27,89.55,0,1.62,3.56,Majority Black,133,2262,0,41,90
8374,2391,6.9,91.47,0,0.63,1,Majority Black,165,2187,0,15,24
8378,3199,17.76,69.3,0,4.72,8.22,Majority Black,568,2217,0,151,263
8380,2854,13.38,72.81,0,2.03,11.77,Majority Black,382,2078,0,58,336
8381,2093,29.53,48.3,0,9.94,12.23,Majority Black,618,1011,0,208,256
8382,2241,47.88,22.62,0,13.48,16.02,Majority White,1073,507,0,302,359
8383,1511,34.75,45.8,0,13.24,6.22,Majority Black,525,692,0,200,94
8386,1474,2.24,89.96,0,0,7.8,Majority Black,33,1326,0,0,115
8387,4726,3.75,90.61,0,0,5.65,Majority Black,177,4282,0,0,267
8388,4935,31.83,38.4,0,0,29.77,Majority Black,1571,1895,0,0,1469
8390,8717,63.77,14.45,0,14.81,6.96,Majority White,5559,1260,0,1291,607
8391,7058,55.07,13.37,0.21,21.66,9.68,Majority White,3887,944,15,1529,683
8392,2436,15.93,65.68,0,13.26,5.13,Majority Black,388,1600,0,323,125
8395,1370,17.45,71.46,0,8.98,2.12,Majority Black,239,979,0,123,29
8396,1534,6.58,89.57,0,0.33,3.52,Majority Black,101,1374,0,5,54
8397,5665,49.23,0.95,0.19,17.23,32.39,Majority White,2789,54,11,976,1835
8398,3210,52.59,0.75,0,27.57,19.1,Majority White,1688,24,0,885,613
8399,5020,56.99,3.25,0.46,17.57,21.73,Majority White,2861,163,23,882,1091
8400,3007,44.96,1.56,0,35.02,18.46,Majority White,1352,47,0,1053,555
8401,3326,30.82,0.9,0,55.17,13.11,Majority Asian,1025,30,0,1835,436
8402,2588,29.37,1.85,0,56.57,12.21,Majority Asian,760,48,0,1464,316
8403,4918,34.44,1.34,3.36,18.02,42.84,Majority Latino,1694,66,165,886,2107
8404,4283,38.06,0.05,0,23.58,38.31,Majority Latino,1630,2,0,1010,1641
8407,5636,35.31,3.25,0,0.67,60.77,Majority Latino,1990,183,0,38,3425
8408,4415,37.35,0.63,0,0,62.02,Majority Latino,1649,28,0,0,2738
8410,880,27.39,42.73,0,25.68,4.2,Majority Black,241,376,0,226,37
8411,6841,5.54,2.25,0,89.58,2.63,Majority Asian,379,154,0,6128,180
8412,7113,36.26,6.2,1.05,1.59,54.9,Majority Latino,2579,441,75,113,3905
8413,5444,37.16,2.7,0.64,1.03,58.47,Majority Latino,2023,147,35,56,3183
8414,1329,8.43,78.71,0,0.38,12.49,Majority Black,112,1046,0,5,166
8415,2993,4.88,90.91,0,0.7,3.51,Majority Black,146,2721,0,21,105
8416,689,0.58,88.68,0,0,10.74,Majority Black,4,611,0,0,74
