Census Tract,Total Population,Majority White,Majority Black,Majority American Indian,Majority Asian,Majority Latino,Majority Pop,White,Black,American Indian,Asian,Latino
3201,13446,73.32,4.92,0.93,15.25,5.57,Majority White,9859,662,125,2051,749
3204,3183,67.86,9.33,0,17.06,5.75,Majority White,2160,297,0,543,183
3206,4671,59.24,17.19,0,18.24,5.33,Majority White,2767,803,0,852,249
3301,19103,49.82,22.47,0,21.63,6.08,Majority White,9517,4292,0,4132,1162
3302,3614,46.9,30.08,0.86,20.84,1.33,Majority White,1695,1087,31,753,48
3403,1824,25.05,1.15,0,69.52,4.28,Majority Asian,457,21,0,1268,78
3404,2107,8.45,1.76,0,84.95,4.84,Majority Asian,178,37,0,1790,102
3405,1748,52.35,2.12,0.4,35.76,9.38,Majority White,915,37,7,625,164
3406,973,0.21,99.59,0,0,0.21,Majority Black,2,969,0,0,2
3501,2203,8.44,49.66,0.27,37.13,4.49,Majority Black,186,1094,6,818,99
3504,1846,1.19,98.54,0,0,0.27,Majority Black,22,1819,0,0,5
3510,3688,5.72,76.68,0,17.11,0.49,Majority Black,211,2828,0,631,18
3511,2084,2.16,97.02,0,0,0.82,Majority Black,45,2022,0,0,17
3514,1964,7.48,87.07,1.37,2.44,1.63,Majority Black,147,1710,27,48,32
3515,522,22.99,51.72,0,19.73,5.56,Majority Black,120,270,0,103,29
3602,1626,3.38,89.91,0,4.06,2.64,Majority Black,55,1462,0,66,43
3801,1912,3.19,95.55,0.63,0,0.63,Majority Black,61,1827,12,0,12
3802,1862,2.26,92.16,0.97,1.34,3.28,Majority Black,42,1716,18,25,61
3805,804,0.5,98.63,0,0.37,0.5,Majority Black,4,793,0,3,4
3807,1239,9.93,86.84,0.56,0,2.66,Majority Black,123,1076,7,0,33
3812,1712,3.62,92.29,2.39,0,1.69,Majority Black,62,1580,41,0,29
3814,1660,0,100,0,0,0,Majority Black,0,1660,0,0,0
3815,360,10.83,82.5,0,1.39,5.28,Majority Black,39,297,0,5,19
3817,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0
3818,1035,4.35,94.4,0.58,0.58,0.1,Majority Black,45,977,6,6,1
3819,1272,5.66,91.19,0.39,0.39,2.36,Majority Black,72,1160,5,5,30
3901,1406,4.62,84.14,0,7.47,3.77,Majority Black,65,1183,0,105,53
3902,1664,16.05,78.43,0,5.17,0.36,Majority Black,267,1305,0,86,6
3903,2794,7.95,89.55,0,0.64,1.86,Majority Black,222,2502,0,18,52
3904,2502,12.91,84.65,0,0.84,1.6,Majority Black,323,2118,0,21,40
3905,1498,20.03,69.56,0,6.28,4.14,Majority Black,300,1042,0,94,62
3906,1763,52.58,41.01,0,3.86,2.55,Majority White,927,723,0,68,45
3907,5271,19.01,55.78,0,22.58,2.64,Majority Black,1002,2940,0,1190,139
4003,1396,6.66,87.32,0,0.64,5.37,Majority Black,93,1219,0,9,75
4004,1903,1,97.53,0,0,1.47,Majority Black,19,1856,0,0,28
4005,1973,0.81,98.33,0.25,0,0.61,Majority Black,16,1940,5,0,12
4008,2784,2.3,90.66,5.46,0,1.58,Majority Black,64,2524,152,0,44
4101,2133,37.93,37.04,0,7.17,17.86,Majority White,809,790,0,153,381
4102,1674,46.59,21.86,0.72,18.7,12.13,Majority White,780,366,12,313,203
4105,2489,45.48,34.07,0,13.66,6.79,Majority White,1132,848,0,340,169
4106,2707,49.21,30.29,0,11.75,8.76,Majority White,1332,820,0,318,237
4107,2033,56.22,21.4,0,15.64,6.74,Majority White,1143,435,0,318,137
4108,2937,39.36,35.41,2.42,14.74,8.07,Majority White,1156,1040,71,433,237
4109,3116,50.77,31.26,0.06,8.15,9.76,Majority White,1582,974,2,254,304
4110,3208,50.34,34.45,0,7.01,8.2,Majority White,1615,1105,0,225,263
4111,2262,74.98,3.71,0,16.27,5.04,Majority White,1696,84,0,368,114
4112,1640,64.09,13.78,0,18.66,3.48,Majority White,1051,226,0,306,57
4201,1260,5.87,92.78,0,0,1.35,Majority Black,74,1169,0,0,17
4202,1656,25.06,68.48,0,3.93,2.54,Majority Black,415,1134,0,65,42
4203,2709,38.69,38.35,0,17.02,5.94,Majority White,1048,1039,0,461,161
4204,1174,26.58,59.8,0,8.18,5.45,Majority Black,312,702,0,96,64
4205,1820,0,89.12,0,3.63,7.25,Majority Black,0,1622,0,66,132
4206,2011,3.28,93.14,0,0,3.58,Majority Black,66,1873,0,0,72
4207,3233,3.8,94.18,0.99,0,1.02,Majority Black,123,3045,32,0,33
4208,2144,6.9,87.45,0,0.93,4.71,Majority Black,148,1875,0,20,101
4212,1497,0,97.8,1.14,0,1.07,Majority Black,0,1464,17,0,16
4301.01,3454,3.04,95.92,0,0,1.04,Majority Black,105,3313,0,0,36
4301.02,2938,1.53,93.12,0.75,0.95,3.64,Majority Black,45,2736,22,28,107
4302,4847,3.55,94,1.3,1.16,0,Majority Black,172,4556,63,56,0
4303,2391,0.38,99,0,0.29,0.33,Majority Black,9,2367,0,7,8
4304,2892,2.21,97.79,0,0,0,Majority Black,64,2828,0,0,0
4305,3603,2.28,95.17,0,0.19,2.36,Majority Black,82,3429,0,7,85
4306,1692,5.56,93.32,0,0.12,1,Majority Black,94,1579,0,2,17
4307,2542,5.78,90.76,1.49,0.87,1.1,Majority Black,147,2307,38,22,28
4308,1530,4.31,94.64,0,0,1.05,Majority Black,66,1448,0,0,16
4309,1344,1.12,98.88,0,0,0,Majority Black,15,1329,0,0,0
4312,2911,1.1,97.35,0,0,1.55,Majority Black,32,2834,0,0,45
4313.01,3271,4,95.14,0,0,0.86,Majority Black,131,3112,0,0,28
4313.02,4192,1.34,96.9,0,0,1.77,Majority Black,56,4062,0,0,74
4314,6316,7.55,90.55,0.13,0.3,1.47,Majority Black,477,5719,8,19,93
4401.01,3977,1.58,93.81,0,1.76,2.84,Majority Black,63,3731,0,70,113
4401.02,3475,7.31,90.01,0,0,2.68,Majority Black,254,3128,0,0,93
4402.01,4807,2.64,95.4,0,0,1.96,Majority Black,127,4586,0,0,94
4402.02,3534,0.45,96.72,0,0.82,2.01,Majority Black,16,3418,0,29,71
4403,4689,1.13,98.87,0,0,0,Majority Black,53,4636,0,0,0
4406,1980,0,99.65,0,0,0.35,Majority Black,0,1973,0,0,7
4407,1505,1.99,98.01,0,0,0,Majority Black,30,1475,0,0,0
4408,1553,0.64,98.58,0,0.77,0,Majority Black,10,1531,0,12,0
4409,2389,0.08,99.33,0.54,0,0.04,Majority Black,2,2373,13,0,1
4503,3594,0.33,99.67,0,0,0,Majority Black,12,3582,0,0,0
4601,3576,11.74,68.74,0,0,19.52,Majority Black,420,2458,0,0,698
4602,3717,34.46,30.35,0,0,35.19,Majority Latino,1281,1128,0,0,1308
4603.01,3684,21.99,53.85,0.24,0,23.91,Majority Black,810,1984,9,0,881
4603.02,3538,4.32,88.69,0,0,6.98,Majority Black,153,3138,0,0,247
4604,3458,2.02,97.51,0,0,0.46,Majority Black,70,3372,0,0,16
4605,4847,0.35,99.01,0,0,0.64,Majority Black,17,4799,0,0,31
4606,1238,21.89,60.9,0,0,17.21,Majority Black,271,754,0,0,213
4607,3546,25.66,45.23,0,0.42,28.68,Majority Black,910,1604,0,15,1017
4610,1863,21.79,53.25,0.64,0,24.32,Majority Black,406,992,12,0,453
4701,2273,1.89,96.66,0,0,1.45,Majority Black,43,2197,0,0,33
4801,2198,0.64,99.36,0,0,0,Majority Black,14,2184,0,0,0
4802,1123,0,100,0,0,0,Majority Black,0,1123,0,0,0
4803,1178,1.27,95.08,0.59,0.42,2.63,Majority Black,15,1120,7,5,31
4804,5667,2.61,95.99,0,0,1.39,Majority Black,148,5440,0,0,79
4805,3332,9.99,79.35,0,0.24,10.41,Majority Black,333,2644,0,8,347
4903,2387,0.5,97.7,0,0,1.8,Majority Black,12,2332,0,0,43
4904,839,0,100,0,0,0,Majority Black,0,839,0,0,0
4905,2050,3.71,94.59,0,0.63,1.07,Majority Black,76,1939,0,13,22
4906,1558,1.48,97.88,0,0.64,0,Majority Black,23,1525,0,10,0
4907,2834,0,99.54,0,0,0.46,Majority Black,0,2821,0,0,13
4908,4087,0.46,98.34,0.81,0,0.39,Majority Black,19,4019,33,0,16
4909.01,3833,0.13,97.86,0,0,2.01,Majority Black,5,3751,0,0,77
4909.02,5003,0.62,98.4,0,0.48,0.5,Majority Black,31,4923,0,24,25
4910,4541,1.1,98.46,0.18,0.26,0,Majority Black,50,4471,8,12,0
4911,4563,3.31,93.38,0,0,3.31,Majority Black,151,4261,0,0,151
4912,2016,0.74,96.43,0,1.69,1.14,Majority Black,15,1944,0,34,23
4913,2475,2.79,95.72,0,0,1.49,Majority Black,69,2369,0,0,37
4914,3250,2.92,94.74,0,0,2.34,Majority Black,95,3079,0,0,76
5001,3107,1.51,97.71,0,0,0.77,Majority Black,47,3036,0,0,24
5002,2079,1.44,97.93,0,0,0.63,Majority Black,30,2036,0,0,13
5003,1578,50.51,31.75,0,0.63,17.11,Majority White,797,501,0,10,270
5101,5060,44.66,8.1,0.16,0,47.08,Majority Latino,2260,410,8,0,2382
5102,3370,21.28,57.24,0,0.03,21.45,Majority Black,717,1929,0,1,723
5103,5264,0.51,99.16,0,0,0.32,Majority Black,27,5220,0,0,17
5201,3540,45.9,3.62,0.68,0,49.8,Majority Latino,1625,128,24,0,1763
5202,6254,48.03,4.8,0,0.14,47.03,Majority White,3004,300,0,9,2941
5203,10410,47.96,1.68,0.12,0.32,49.91,Majority Latino,4993,175,13,33,5196
5204,7290,48.38,3.14,0,0,48.48,Majority Latino,3527,229,0,0,3534
5205,8019,55.24,0.99,0.17,0,43.6,Majority White,4430,79,14,0,3496
5206,4874,54.23,0.16,0.27,0.47,44.87,Majority White,2643,8,13,23,2187
5301,3639,37.65,21.02,0.19,0,41.14,Majority Latino,1370,765,7,0,1497
5302,4288,0,100,0,0,0,Majority Black,0,4288,0,0,0
5303,4588,0.83,98.3,0.11,0,0.76,Majority Black,38,4510,5,0,35
5304,1953,1.79,95.8,0,0.72,1.69,Majority Black,35,1871,0,14,33
5305.01,4665,1.61,97.26,0,0,1.14,Majority Black,75,4537,0,0,53
5305.02,1434,0.42,97.7,0,0,1.88,Majority Black,6,1401,0,0,27
5305.03,5851,0.68,97.93,0,0.87,0.51,Majority Black,40,5730,0,51,30
5306,2643,0.38,99.36,0,0,0.26,Majority Black,10,2626,0,0,7
5401.01,4077,4.19,89.89,0.54,0.56,4.81,Majority Black,171,3665,22,23,196
5401.02,3503,3.34,93.52,0,0,3.14,Majority Black,117,3276,0,0,110
5501,9912,59.63,3.2,0.17,0,37,Majority White,5911,317,17,0,3667
5502,4398,59.78,0.57,0,0.7,38.95,Majority White,2629,25,0,31,1713
5601,2162,31.45,9.25,1.48,5.83,51.99,Majority Latino,680,200,32,126,1124
5602,2053,22.11,51.53,0.34,0.34,25.67,Majority Black,454,1058,7,7,527
5603,4271,45.05,2.18,0,2.06,50.71,Majority Latino,1924,93,0,88,2166
5604,2519,44.46,1.47,1.47,3.37,49.23,Majority Latino,1120,37,37,85,1240
5607,5037,54.52,1.69,0,0.14,43.66,Majority White,2746,85,0,7,2199
5608,8016,56.62,1.86,0.82,0,40.69,Majority White,4539,149,66,0,3262
5609,6155,70.84,0.26,0,0.47,28.43,Majority White,4360,16,0,29,1750
5610,6880,73.14,0.74,0,0,26.12,Majority White,5032,51,0,0,1797
5611,7298,63.7,0.19,0,0,36.11,Majority White,4649,14,0,0,2635
5701,1749,37.28,0.29,2.12,7.43,52.89,Majority Latino,652,5,37,130,925
5702,3059,47.34,0.52,0,5.82,46.32,Majority White,1448,16,0,178,1417
5703,7567,34.54,2.17,0.17,1.69,61.42,Majority Latino,2614,164,13,128,4648
5704,2317,34.92,0.04,1.9,0.99,62.15,Majority Latino,809,1,44,23,1440
5705,3377,43.2,0.5,0,3.85,52.44,Majority Latino,1459,17,0,130,1771
5801,4001,30.97,1.72,2.45,18.65,46.21,Majority Latino,1239,69,98,746,1849
5802,4834,31.11,0.74,0.35,8.48,59.31,Majority Latino,1504,36,17,410,2867
5803,3511,29.68,0.91,2.45,9.68,57.28,Majority Latino,1042,32,86,340,2011
5804,6300,34.57,1.49,0,8.56,55.38,Majority Latino,2178,94,0,539,3489
5805.01,7212,33.89,2,2.4,3.34,58.37,Majority Latino,2444,144,173,241,4210
5805.02,7525,35.6,0.31,0.93,5.04,58.13,Majority Latino,2679,23,70,379,4374
5806,7869,39.57,0.93,1.11,3.42,54.98,Majority Latino,3114,73,87,269,4326
5807,9750,37.74,2.27,0.34,3.04,56.62,Majority Latino,3680,221,33,296,5520
5808,3168,34.69,0.16,1.29,0.41,63.45,Majority Latino,1099,5,41,13,2010
5905,2262,35.06,1.77,0.84,27.63,34.7,Majority White,793,40,19,625,785
5906,4204,36.51,0.24,0.36,5.47,57.42,Majority Latino,1535,10,15,230,2414
5907,5126,39.68,1.4,1.21,6.93,50.78,Majority Latino,2034,72,62,355,2603
6004,4893,19.97,1.25,0.53,62.76,15.49,Majority Asian,977,61,26,3071,758
6006,3698,33.8,2.41,0.24,31.88,31.67,Majority White,1250,89,9,1179,1171
6007,3004,48.37,3.83,2.33,22.64,22.84,Majority White,1453,115,70,680,686
6009,3900,46.62,7.77,0.26,29.67,15.69,Majority White,1818,303,10,1157,612
6103,8878,35.74,2.14,1.07,4.19,56.86,Majority Latino,3173,190,95,372,5048
6104,3188,31.84,1.25,1.41,0,65.5,Majority Latino,1015,40,45,0,2088
6108,1858,75.24,1.08,1.56,2.48,19.64,Majority White,1398,20,29,46,365
6110,1286,36,31.96,0,0,32.04,Majority White,463,411,0,0,412
6111,3402,36.89,10.17,0,0,52.94,Majority Latino,1255,346,0,0,1801
6112,3673,36.59,13.15,0.14,0.22,49.9,Majority Latino,1344,483,5,8,1833
6113,4194,45.3,3.05,0,0,51.65,Majority Latino,1900,128,0,0,2166
6114,5202,38.68,1.69,0.5,0,59.13,Majority Latino,2012,88,26,0,3076
6115,5128,40.76,5.6,0,0.21,53.43,Majority Latino,2090,287,0,11,2740
6116,2038,28.66,29.93,0,0.64,40.78,Majority Latino,584,610,0,13,831
6117,1990,25.78,28.69,0,0,45.53,Majority Latino,513,571,0,0,906
6118,2884,19.87,41.99,0,0,38.14,Majority Black,573,1211,0,0,1100
6119,1972,14.96,66.43,0,0,18.61,Majority Black,295,1310,0,0,367
6120,1376,3.13,95.35,0,0,1.53,Majority Black,43,1312,0,0,21
6121,1020,2.55,92.65,0,3.04,1.76,Majority Black,26,945,0,31,18
6201,6717,31.06,0,3.89,3.57,61.49,Majority Latino,2086,0,261,240,4130
6202,3222,44.41,0.34,0,3.85,51.4,Majority Latino,1431,11,0,124,1656
6203,10072,37.81,2.12,0.3,0,59.77,Majority Latino,3808,214,30,0,6020
6204,6425,35.36,0.64,1.31,0.22,62.47,Majority Latino,2272,41,84,14,4014
6301,1295,38.38,12.9,0,0,48.73,Majority Latino,497,167,0,0,631
6302,3430,40.85,2.57,0,1.66,54.93,Majority Latino,1401,88,0,57,1884
6303,8472,36.1,0.34,0.2,0.46,62.9,Majority Latino,3058,29,17,39,5329
6304,10348,33.29,0.42,0,0,66.29,Majority Latino,3445,43,0,0,6860
6305,9144,31.08,1.2,0,0.03,67.68,Majority Latino,2842,110,0,3,6189
6308,10413,28.32,3.45,0,0.12,68.11,Majority Latino,2949,359,0,13,7092
6309,6786,26.57,1,0.44,1.55,70.44,Majority Latino,1803,68,30,105,4780
6401,2185,50.07,2.79,0.59,0.5,46.04,Majority White,1094,61,13,11,1006
6403,8386,55.35,0.68,0.83,0.31,42.82,Majority White,4642,57,70,26,3591
6404,4330,61.06,1.99,0,0.88,36.07,Majority White,2644,86,0,38,1562
6405,4986,61.29,0.34,0,1.38,36.98,Majority White,3056,17,0,69,1844
6406,5053,56.68,0.99,0,0.67,41.66,Majority White,2864,50,0,34,2105
6407,4800,50.6,1.77,0.75,0.15,46.73,Majority White,2429,85,36,7,2243
6408,2364,40.78,2.03,0,0.21,56.98,Majority Latino,964,48,0,5,1347
6501,5751,35.82,1.23,0,0.68,62.27,Majority Latino,2060,71,0,39,3581
6502,11302,45.56,0.63,0.61,0,53.2,Majority Latino,5149,71,69,0,6013
6503.01,7915,44.01,0.82,0,1.14,54.04,Majority Latino,3483,65,0,90,4277
6503.02,5819,35.59,2.65,0.33,0,61.44,Majority Latino,2071,154,19,0,3575
6504,9246,30.28,6.18,0.36,0.81,62.37,Majority Latino,2800,571,33,75,5767
6505,6064,37.98,4.16,0.64,0.28,56.94,Majority Latino,2303,252,39,17,3453
6603.01,1853,18.94,30.44,0,0,50.62,Majority Latino,351,564,0,0,938
6603.02,6494,22.34,16.35,0,0.69,60.61,Majority Latino,1451,1062,0,45,3936
6604,8290,28.75,1.4,0,0,69.86,Majority Latino,2383,116,0,0,5791
6605,6952,31,5.67,0.42,0.23,62.69,Majority Latino,2155,394,29,16,4358
6606,6699,17.45,45.28,0,0,37.27,Majority Black,1169,3033,0,0,2497
6607,2060,4.27,87.33,0,2.67,5.73,Majority Black,88,1799,0,55,118
6608,5750,14.7,46.78,0,0.64,37.88,Majority Black,845,2690,0,37,2178
6609,4545,5.85,85.57,0,0.55,8.03,Majority Black,266,3889,0,25,365
6610,5410,8.71,82.14,0,0.87,8.28,Majority Black,471,4444,0,47,448
6611,7769,20.92,34.83,0,0,44.25,Majority Latino,1625,2706,0,0,3438
6701,1092,4.21,88,0,0,7.78,Majority Black,46,961,0,0,85
6702,1001,7.79,86.71,0.7,0,4.8,Majority Black,78,868,7,0,48
6703,1095,9.77,74.89,0,0.37,14.98,Majority Black,107,820,0,4,164
6704,1802,7.05,77.69,0,0,15.26,Majority Black,127,1400,0,0,275
6705,1188,3.87,75.25,0.93,0,19.95,Majority Black,46,894,11,0,237
6706,1086,2.39,95.67,0,0,1.93,Majority Black,26,1039,0,0,21
6707,1152,1.82,94.7,0,0,3.47,Majority Black,21,1091,0,0,40
6708,1352,1.41,97.19,0,0,1.41,Majority Black,19,1314,0,0,19
6709,1710,2.92,94.33,0,0,2.75,Majority Black,50,1613,0,0,47
6711,1073,0.75,98.97,0,0,0.28,Majority Black,8,1062,0,0,3
6712,978,1.43,98.57,0,0,0,Majority Black,14,964,0,0,0
6713,2065,0.05,95.79,0,0,4.16,Majority Black,1,1978,0,0,86
6714,1402,0.86,96.58,0,0,2.57,Majority Black,12,1354,0,0,36
6715,2679,4.52,80.93,0,0,14.56,Majority Black,121,2168,0,0,390
6716,1876,2.4,95.42,0,0,2.19,Majority Black,45,1790,0,0,41
6718,1242,0,94.52,0,0,5.48,Majority Black,0,1174,0,0,68
6719,1268,3.63,87.46,0,0,8.91,Majority Black,46,1109,0,0,113
6720,4205,0.95,93.39,0,0,5.66,Majority Black,40,3927,0,0,238
6805,1375,0,96.29,0,0,3.71,Majority Black,0,1324,0,0,51
6806,1529,0.98,99.02,0,0,0,Majority Black,15,1514,0,0,0
6809,3146,1.08,98.73,0,0,0.19,Majority Black,34,3106,0,0,6
6810,2421,1.28,98.72,0,0,0,Majority Black,31,2390,0,0,0
6811,3167,0.41,93.4,0.79,0,5.4,Majority Black,13,2958,25,0,171
6812,2638,0,94.84,0.3,0,4.85,Majority Black,0,2502,8,0,128
6813,2295,0,94.34,0,0,5.66,Majority Black,0,2165,0,0,130
6814,2570,0,100,0,0,0,Majority Black,0,2570,0,0,0
6903,2381,4.49,95.09,0,0,0.42,Majority Black,107,2264,0,0,10
6904,3232,0.09,99.54,0.37,0,0,Majority Black,3,3217,12,0,0
6905,736,0,99.46,0,0.54,0,Majority Black,0,732,0,4,0
6909,4198,2.07,97.14,0,0,0.79,Majority Black,87,4078,0,0,33
6910,2434,0.16,99.84,0,0,0,Majority Black,4,2430,0,0,0
6911,3289,1.55,97.29,0,0,1.16,Majority Black,51,3200,0,0,38
6912,2963,3.41,96.59,0,0,0,Majority Black,101,2862,0,0,0
6913,2734,1.46,91.77,0,0,6.77,Majority Black,40,2509,0,0,185
6914,2807,0,99.14,0,0,0.86,Majority Black,0,2783,0,0,24
6915,2014,0.6,97.07,0,0,2.33,Majority Black,12,1955,0,0,47
7001,3750,10.45,62.35,0,0,27.2,Majority Black,392,2338,0,0,1020
7002,7884,25.82,12.2,0.63,0.89,60.45,Majority Latino,2036,962,50,70,4766
7003.01,8528,35.95,8.44,0.74,1.13,53.74,Majority Latino,3066,720,63,96,4583
7003.02,6845,40.98,15.73,0.12,0.06,43.11,Majority Latino,2805,1077,8,4,2951
7004.01,6821,15.23,55.48,0.18,0.57,28.54,Majority Black,1039,3784,12,39,1947
7004.02,5222,24.36,50.11,0,1.09,24.44,Majority Black,1272,2617,0,57,1276
7005.01,7190,6.59,88.85,0.04,0.68,3.84,Majority Black,474,6388,3,49,276
7005.02,3416,6.73,90.19,0,0,3.07,Majority Black,230,3081,0,0,105
7101,1213,2.39,95.22,0,0,2.39,Majority Black,29,1155,0,0,29
7102,5010,3.59,92.12,0,1.06,3.23,Majority Black,180,4615,0,53,162
7103,1478,3.86,87.01,0.34,0,8.8,Majority Black,57,1286,5,0,130
7104,5423,0.48,97.44,0.35,0,1.73,Majority Black,26,5284,19,0,94
7105,4067,1.48,95.82,0,0.44,2.26,Majority Black,60,3897,0,18,92
7106,1908,1,99,0,0,0,Majority Black,19,1889,0,0,0
7107,2941,0.24,99.35,0,0.03,0.37,Majority Black,7,2922,0,1,11
7108,4745,0.06,97.7,0.57,0,1.66,Majority Black,3,4636,27,0,79
7109,2158,1.44,96.62,0,0,1.95,Majority Black,31,2085,0,0,42
7110,3058,2.81,96.08,0,1.11,0,Majority Black,86,2938,0,34,0
7111,2336,2.27,95.08,0,0.39,2.27,Majority Black,53,2221,0,9,53
7112,4986,0,99.78,0,0.22,0,Majority Black,0,4975,0,11,0
7113,1818,2.37,94.94,0,0.61,2.09,Majority Black,43,1726,0,11,38
7114,2451,0.04,96.82,0,0.24,2.9,Majority Black,1,2373,0,6,71
7115,2637,0,97.69,0,0,2.31,Majority Black,0,2576,0,0,61
7201,3535,65.52,26.08,0,0,8.4,Majority White,2316,922,0,0,297
7202,3986,42.9,51.71,0,0.75,4.64,Majority Black,1710,2061,0,30,185
7203,4280,55.82,37.52,0,1.1,5.56,Majority White,2389,1606,0,47,238
7204,1960,92.7,1.99,0,0.15,5.15,Majority White,1817,39,0,3,101
7205,2301,91.57,1.83,0,1.22,5.39,Majority White,2107,42,0,28,124
7206,1786,73.01,23.35,0,0.22,3.42,Majority White,1304,417,0,4,61
7207,3275,34.63,60.27,0.82,1.56,2.72,Majority Black,1134,1974,27,51,89
7301,2530,0.24,99.05,0,0,0.71,Majority Black,6,2506,0,0,18
7302.01,5803,1.74,93.06,3.76,0,1.45,Majority Black,101,5400,218,0,84
7302.02,3424,2.54,97.05,0,0.23,0.18,Majority Black,87,3323,0,8,6
7303,1101,0,100,0,0,0,Majority Black,0,1101,0,0,0
7304,3989,0.45,98.3,0,0,1.25,Majority Black,18,3921,0,0,50
7305,4393,0.46,99.2,0,0,0.34,Majority Black,20,4358,0,0,15
7306,3597,0.33,98.58,0.7,0,0.39,Majority Black,12,3546,25,0,14
7307,2271,1.28,97.49,0,0,1.23,Majority Black,29,2214,0,0,28
7401,3322,89.74,1.57,0,0,8.7,Majority White,2981,52,0,0,289
7402,7102,86.43,1,0.34,3.52,8.72,Majority White,6138,71,24,250,619
7403,5174,90.72,2.13,0,0.54,6.61,Majority White,4694,110,0,28,342
7404,4941,79.36,9.37,0,3.14,8.14,Majority White,3921,463,0,155,402
7501,3912,1.23,94.89,0,0,3.89,Majority Black,48,3712,0,0,152
7502,2825,36.99,59.86,0.32,0.04,2.8,Majority Black,1045,1691,9,1,79
7503,2498,83.19,11.37,0,0.72,4.72,Majority White,2078,284,0,18,118
7504,3298,64.22,32.53,0,0.33,2.91,Majority White,2118,1073,0,11,96
7505,6515,19.43,74.49,0,0,6.08,Majority Black,1266,4853,0,0,396
7506,3151,0.89,99.11,0,0,0,Majority Black,28,3123,0,0,0
7608.01,3780,73.12,2.3,0,14.02,10.56,Majority White,2764,87,0,530,399
7608.02,2555,94.44,1.37,0,0.67,3.52,Majority White,2413,35,0,17,90
7608.03,5521,86.29,0.49,0,7.95,5.27,Majority White,4764,27,0,439,291
7702.01,6039,78.04,1.16,0,12.57,8.23,Majority White,4713,70,0,759,497
7702.02,4923,87.55,0.02,0.41,2.95,9.08,Majority White,4310,1,20,145,447
7703,7596,82.25,1.13,0,6.78,9.83,Majority White,6248,86,0,515,747
7704,5397,66.06,2.28,0,8.56,23.11,Majority White,3565,123,0,462,1247
7705,6544,48.27,0,0.7,0,51.02,Majority Latino,3159,0,46,0,3339
7706.01,3784,70.16,0.9,0,8.14,20.8,Majority White,2655,34,0,308,787
7706.02,7093,50.49,2.11,0,6.06,41.34,Majority White,3581,150,0,430,2932
7707,2844,83.9,1.44,0,4.08,10.58,Majority White,2386,41,0,116,301
7708,6031,75.21,1.54,0,2.35,20.89,Majority White,4536,93,0,142,1260
7709.01,5602,83.81,0.91,0,7.09,8.19,Majority White,4695,51,0,397,459
7709.02,3763,89.5,0.48,0,4.65,5.37,Majority White,3368,18,0,175,202
8001,2543,94.65,0,0,3.54,1.81,Majority White,2407,0,0,90,46
8002,6718,87.82,2.41,0,3.41,6.36,Majority White,5900,162,0,229,427
8003,3536,92.25,0,0,3.82,3.93,Majority White,3262,0,0,135,139
8004,3788,91.84,0,0,5.86,2.3,Majority White,3479,0,0,222,87
8005,5130,92.24,0.39,0.86,3.47,3.04,Majority White,4732,20,44,178,156
8006,2453,93.4,0.65,0,3.75,2.2,Majority White,2291,16,0,92,54
8007,5157,89.16,0.16,0,8.16,2.52,Majority White,4598,8,0,421,130
8008,2303,84.98,0.78,0,11.55,2.69,Majority White,1957,18,0,266,62
8009,4536,64.51,1.37,0,28.06,6.06,Majority White,2926,62,0,1273,275
8010,4965,80.26,0.36,0.3,17.06,2.01,Majority White,3985,18,15,847,100
8011,4781,91.19,0.02,0,5.81,2.97,Majority White,4360,1,0,278,142
8012,3598,89.8,0.78,0,6.09,3.34,Majority White,3231,28,0,219,120
8013,4426,86.51,0.88,0,10.73,1.88,Majority White,3829,39,0,475,83
8014,3154,78.22,0.38,0,13.73,7.67,Majority White,2467,12,0,433,242
8015,6064,87.6,5.46,0.49,4.88,1.57,Majority White,5312,331,30,296,95
8016.01,4702,83.03,0.38,0,14.91,1.68,Majority White,3904,18,0,701,79
8016.03,4682,54.23,6.26,0,25.1,14.42,Majority White,2539,293,0,1175,675
8016.05,5468,83.14,0.02,0,13.72,3.13,Majority White,4546,1,0,750,171
8016.06,5817,85.37,0,0,12.76,1.87,Majority White,4966,0,0,742,109
8016.07,5400,62.37,0.48,0,33.52,3.63,Majority White,3368,26,0,1810,196
8016.08,6939,75.89,0.29,0,21.08,2.74,Majority White,5266,20,0,1463,190
8017.01,3888,84.9,0,0,12.17,2.93,Majority White,3301,0,0,473,114
8017.02,4733,83.6,1.1,0,11.43,3.87,Majority White,3957,52,0,541,183
8018,5991,88.17,0,0,11.83,0,Majority White,5282,0,0,709,0
8019.01,4524,79.93,0.49,0.44,7.67,11.47,Majority White,3616,22,20,347,519
8019.02,3671,87.71,2.23,0,6.05,4,Majority White,3220,82,0,222,147
8020.02,5568,81,1.51,0,10.52,6.97,Majority White,4510,84,0,586,388
8020.03,2957,71.09,0.61,0,13.32,14.98,Majority White,2102,18,0,394,443
8020.04,6001,56.84,2.4,0.88,27.06,12.81,Majority White,3411,144,53,1624,769
8021,3313,91.67,0.39,0,7.09,0.85,Majority White,3037,13,0,235,28
8022,4689,90.89,2.39,0,2.75,3.97,Majority White,4262,112,0,129,186
8023,5329,78.65,0.75,0,16.23,4.37,Majority White,4191,40,0,865,233
